gene,log2FC,FDR,mean_tumor_tpm,mut_freq_pct,km_logrank_p,apc_spearman_r,apc_spearman_p,prognostic,apc_positive
CEACAM7,3.0820186419928577,2.001480568925671e-05,14.105747358834245,2.9585798816568047,0.8400208450076884,0.14310622421434294,0.0007716547542699772,False,True
PAGE2,3.0604248942457035,0.012775885790261373,8.689063752276866,1.183431952662722,0.0071750101685703295,-0.07169292096361375,0.0933178116938085,True,False
KANK4,3.055580318618409,7.071954894304468e-12,12.111590710382515,5.9171597633136095,0.028437143310325277,-0.13907216233170525,0.0010868322064379594,True,False
KIF2C,3.054262518389135,6.098198949341027e-19,34.87406102003643,4.930966469428008,0.01331311999671378,-0.040358545367519885,0.34524109444204554,True,False
DLGAP5,3.047303022997589,2.724260016112009e-18,23.038122768670313,5.9171597633136095,0.16817215261163515,0.020488866165544403,0.6319204406508011,False,True
CEP55,3.041845741666974,1.3754051433155015e-18,32.16978779599272,3.5502958579881656,0.2797384897220555,0.011707187949858767,0.7843210619526895,False,True
PBK,3.0402936285286595,8.424904795957007e-18,30.02708160291439,2.366863905325444,0.4567292507346955,-0.0469260754004083,0.2723740576561712,False,False
ALPP,3.0356496633160144,9.945801289515068e-05,41.664002732240434,3.155818540433925,0.24064414973415463,0.13126952502304295,0.0020555983676396918,False,True
TMPRSS13,3.0348477925868664,3.0514542709291284e-16,19.08322276867031,3.155818540433925,0.07270706634758464,-0.11474699127206009,0.007115820281789206,False,False
SULT2B1,3.0289426981252237,2.0858145197473245e-14,14.607149544626596,1.5779092702169626,0.14957612012025678,-0.09460086425826529,0.026657978091673445,False,False
SAPCD2,3.0238514274522856,6.960882415582466e-19,28.82314790528233,1.3806706114398422,0.3730795865149692,-0.1661421200155196,9.184761322286726e-05,False,False
PKMYT1,3.020711143781954,3.368020844715252e-19,16.152734790528232,1.9723865877712032,0.9357119978577765,-0.05149194469524732,0.2283793474807836,False,False
RHCG,2.9968651770296675,1.2173286130279803e-14,7.6993167577413475,3.353057199211045,0.07282343187356004,-0.1043876640063834,0.014405292097452341,False,False
CDC45,2.994084481801402,5.066496883470032e-19,20.65311293260474,4.930966469428008,0.5673171161377998,0.006793107697649727,0.8738212091852882,False,True
CLPSL1,2.980863624879642,6.650090627196475e-10,8.508194353369763,1.3806706114398422,0.3330974919146255,-0.1301904071565043,0.002239193671058044,False,False
BUB1,2.9763218702048633,6.01302579866846e-19,19.25508469945355,5.719921104536489,0.015989154134757377,0.031058847418785198,0.46768638845686583,True,True
NCCRP1,2.9705485428988965,1.394862016904159e-08,13.07398961748634,1.9723865877712032,8.87466770056315e-05,0.011589161825520845,0.7864426208099776,True,True
MKI67,2.968669338076645,2.2395369722733822e-18,30.551626593806922,16.765285996055226,0.12614410909520002,-0.011273329404007701,0.7921275550862276,False,False
GAD1,2.967942485832742,1.1390951009298085e-09,12.64973442622951,3.9447731755424074,0.03140480498721711,-0.11558367803319895,0.006705407539369531,True,False
WNT7A,2.9609579046599674,0.0001492243356282737,48.43294426229508,2.564102564102564,0.12550005103616435,0.06772552202870373,0.1129519903707422,False,True
ZWINT,2.9586610618017466,1.2381146243142356e-18,80.87761384335154,2.9585798816568047,0.1396662174407066,-0.07508116947868056,0.0788019886113487,False,False
MAGEA4,2.9579130904395763,0.004347554784692924,6.987107650273225,4.142011834319527,0.0003134740320336082,-0.011628540612978288,0.7857345973659418,True,False
CENPF,2.94360456942949,2.951112761720848e-18,30.641883424408014,10.256410256410255,0.2623674347140451,-0.06212763025734188,0.14600629877211846,False,False
CCL18,2.9375768054479936,1.0885096247790952e-10,22.617527140255007,1.3806706114398422,0.6457255174709278,0.4407642898222304,1.6892427024017274e-27,False,True
HJURP,2.9162915990587237,1.659551019510477e-18,22.299848998178504,4.536489151873767,0.19433532375774568,-0.10860545142703815,0.010882695254479094,False,False
INA,2.9093068740284007,5.342986098388539e-14,8.354611475409836,1.7751479289940828,0.12441667406439488,-0.09138432325750347,0.032289853303367595,False,False
IVL,2.904904296070853,1.7164082886139857e-05,6.879165938069217,4.733727810650888,0.2288902627086372,-0.1945035495013367,4.413547513169014e-06,False,False
ACTL8,2.9020542507568514,5.7681442276468355e-12,6.766591803278689,3.5502958579881656,3.764705594860062e-05,-0.10486475366691478,0.013961968744400713,True,False
BPIFA1,2.9013658044193544,0.007311535734703432,6.908513479052823,2.7613412228796843,0.7542564295922393,-0.0012608161525224347,0.9764861202092686,False,False
IQGAP3,2.8936126019034005,8.130996223502175e-19,19.353856466302368,7.495069033530571,0.04296486279302002,-0.11657003201815935,0.006248923039844994,True,False
H1-5,2.89291637881184,2.3151615424873265e-13,7.336791621129326,1.5779092702169626,0.11119625103678694,0.09147684012141014,0.0321146731140364,False,True
HGD,2.890976676271904,1.0094544470172139e-11,66.09753515482697,2.9585798816568047,0.0023002535134415726,0.15545131825615255,0.00025589307870723613,True,True
CDT1,2.8902835623143517,7.954179146212125e-19,43.19251275045537,2.9585798816568047,0.9536786993832287,-0.024193835401892006,0.5716178432066945,False,False
RRM2,2.883740463032178,1.9714771557721324e-18,22.457925865209475,2.1696252465483234,0.0493546958956751,0.012817634282274707,0.7644406621084607,True,True
SCNN1B,2.877048803313025,0.0004919296024814456,31.148855009107464,3.7475345167652856,0.2015977418811974,-0.027391662721356135,0.5218706536727892,False,False
CA2,2.874256572099819,1.0406273769653338e-12,26.791166302367944,2.7613412228796843,0.22096309901357405,0.027709451117180872,0.5170510579895095,False,True
NQO1,2.871320414271225,5.311518224487581e-08,151.22454007285975,1.3806706114398422,0.02064697212763124,0.09811901472545245,0.021487199007834138,True,True
MUC5AC,2.87082902610496,1.4929097424690272e-12,6.638253916211293,6.903353057199212,0.2370977838330106,0.07544044986063093,0.07737659146925732,False,True
SIX1,2.8650014615727946,1.595511077846429e-13,10.093156284153006,3.155818540433925,0.00011660480685492789,-0.049928279137881906,0.24283941034067985,True,False
BPIFB2,2.8525036829272734,0.0012170584876093707,13.616681785063752,1.3806706114398422,0.0005534928165060471,-0.09199140356037105,0.03115510277021018,True,False
KIF18B,2.83962597828263,1.0907261825085511e-18,15.750771584699454,5.128205128205128,0.07958655443386274,-0.00995086681098408,0.8160482639018387,False,False
PRSS8,2.813812768995966,4.576624520320172e-17,222.08286047358837,1.9723865877712032,0.47736977712601025,-0.05969577309531839,0.16248138954835178,False,False
CCNB1,2.809152282465975,1.0980441207758445e-18,117.86056848816028,2.366863905325444,0.35009078968672047,-0.03401757191394622,0.42633972834025524,False,False
AMBP,2.7936382008870577,0.00020467337045051355,17.302297267759563,2.7613412228796843,0.008357666184537824,0.12623192306981504,0.0030482778146693036,True,True
AURKA,2.787135487284565,7.903893149874267e-19,27.92636156648452,2.366863905325444,0.00034974527328152945,-7.883066636207717e-05,0.9985296179644221,True,False
KIF20A,2.786198191223851,9.754656888771386e-18,34.56360655737705,3.353057199211045,0.011549247631032811,-0.06865048716191473,0.10810656539049554,True,False
UHRF1,2.786129679520913,2.6130365815056366e-18,16.406597267759565,4.536489151873767,0.5174065369657723,0.055498747194331746,0.19414504521421072,False,True
H1-4,2.750713099608313,2.0504799871252645e-12,11.139105646630238,2.564102564102564,0.5417915460676935,-0.017928212128185735,0.6751082083130154,False,False
POC1A,2.737732173141265,2.525294853266599e-19,33.18747504553734,1.5779092702169626,0.32465159607732186,0.03576569814454223,0.40294416828825663,False,True
H4C4,2.7328490908056824,3.139436533160027e-14,9.545125318761386,1.183431952662722,0.029505322913606087,0.1316351412646548,0.001996588387339075,True,True
GTSE1,2.7117689148112523,1.5418896770923067e-18,17.3058233151184,2.7613412228796843,0.6199026158456428,-0.02601332263668133,0.543038035451073,False,False
SPAG5,2.7112672967526805,3.932590883573678e-19,26.548378142076505,6.31163708086785,0.023090879663450758,-0.029923526276284446,0.4841213781607333,True,False
BUB1B,2.70811406020115,6.51098046194689e-18,16.677081238615663,4.930966469428008,0.008871620792000531,-0.022576609701175938,0.5976045187581865,True,False
CDC20B,2.6927485216521623,0.00020132303647433592,15.050417486338798,4.536489151873767,0.02073262746456301,0.17463519685916118,3.885859494555068e-05,True,True
KRT14,2.6853227782372704,8.847775945110568e-05,16.92674553734062,3.9447731755424074,0.068427339415926,-0.06810480383108936,0.11094487283179874,False,False
TACC3,2.682978441917809,5.029887408772707e-19,42.15139799635701,3.9447731755424074,0.27205955400420795,-0.07559084926082654,0.07678615522880194,False,False
TTK,2.6748762808883004,7.012386790483723e-18,14.614344444444447,14.201183431952662,0.0027798234371695712,-0.0157841551046692,0.7121168287153897,True,False
ESPL1,2.67327333045389,4.830564018186869e-19,11.175226047358834,6.903353057199212,0.000210438737508283,-0.082816983091964,0.052455851938324284,True,False
NCAPH,2.668701430424758,7.195768004367583e-19,12.036622586520947,4.930966469428008,0.0314344287251096,0.02377034719161849,0.5783707474879621,True,True
MYCN,2.664460780823541,2.8620830354100258e-08,20.548134972677598,3.5502958579881656,0.47830604182550773,-0.07811067477454937,0.0674273158915924,False,False
VAV3,2.6612066795951788,5.692708011945236e-15,33.31149526411658,5.9171597633136095,0.5166310288867326,0.039726232046442655,0.35285768914988047,False,True
NUF2,2.6605731734313305,1.8351580683282265e-17,15.645784881602916,3.155818540433925,0.11614762269222678,-0.08492927359027636,0.04669947227641812,False,False
TGM7,2.659325106327323,3.708243531940204e-11,5.938228051001821,4.733727810650888,0.5917215585620355,-0.10476777668897362,0.014051096974555132,False,False
CDCA2,2.656607873071481,9.018357304764107e-19,10.709830418943536,5.9171597633136095,0.22038856551334512,0.015149774640022338,0.7232026230361551,False,True
COL9A1,2.6527293852768956,0.008926406535589253,12.649406375227686,7.297830374753452,0.207982587971233,0.10188530940486999,0.016939186193683405,False,True
LAD1,2.6509600316664423,8.18754230744953e-17,127.96415610200364,2.564102564102564,0.33785716664264603,-0.047797999136996394,0.2635544436549546,False,False
HTR3A,2.646450328590734,6.9565938176744715e-06,6.351582149362477,5.325443786982249,0.00011470614078577012,0.0616185345250473,0.1493452455938506,True,True
CAMP,2.6460587821124677,2.3799474193956836e-08,6.195834790528233,1.5779092702169626,0.45290912947441553,0.03303798900396425,0.4397879420910793,False,True
CDC6,2.641378012704082,1.1904915928586696e-18,17.868560837887067,2.564102564102564,0.4975532046709751,0.023158303146337135,0.5881959044379083,False,True
FGF8,2.6329438325266943,3.818864628410071e-06,6.2817309653916205,1.5779092702169626,0.9402961788949105,-0.14097099384883793,0.0009260456537416656,False,False
E2F1,2.630362225249256,1.3241012698295602e-17,38.69685428051002,5.9171597633136095,0.0003274693328569358,-0.058481983893016565,0.17121043453415036,True,False
PRSS1,2.6286528720592637,8.85075148793923e-08,6.398266666666666,1.7751479289940828,0.01495169977425872,0.04986544572955904,0.24343358575832552,True,True
KIF4A,2.628433715740232,8.031294768182965e-18,20.729482695810567,8.481262327416173,0.09775339212526435,-0.004315380682498069,0.9196436479223993,False,False
NECTIN4,2.6224090831197486,1.7866509601652503e-16,44.569714389799636,3.7475345167652856,0.035512296616455906,-0.17177912909156182,5.213321500612884e-05,True,False
DPEP1,2.619087013648568,0.015153860904305375,15.827755919854281,1.3806706114398422,0.7171729340592298,0.14105766616166526,0.0009192598130543633,False,True
CCNA2,2.6171171559426325,1.4377260088577637e-17,32.62301730418944,2.7613412228796843,0.23519176388517227,0.021061929956413428,0.6224177879496083,False,True
FOXA1,2.6146977727700147,2.150868640803096e-09,19.041917304189436,3.155818540433925,0.9084700954996515,0.065966811322633,0.12263417992087607,False,True
SKA1,2.6119104163634717,7.903893149874267e-19,13.371698360655738,2.1696252465483234,0.14322495288967294,-0.03492619143450782,0.4140822855145849,False,False
SPP1,2.6004560464755277,6.256898897684474e-13,451.4001723132969,2.366863905325444,0.9056258880809617,0.3514749021868802,2.086274723606425e-17,False,True
RDH10,2.5991299877117413,7.696505323963704e-14,97.889529143898,1.7751479289940828,0.5509042548386922,0.02162251931786454,0.6131822896691196,False,True
FOXG1,2.5967924748209255,9.414075799306328e-11,5.690551912568306,4.142011834319527,0.8628299792300549,0.03407897481757437,0.4255048009953507,False,True
SKA3,2.5816894242004196,1.8566597291094455e-18,16.235914936247724,3.9447731755424074,0.5705283286163233,-0.043368107302533536,0.31043559861493364,False,False
NCAPG,2.5808490210441346,4.098473431000301e-18,11.741630054644808,5.9171597633136095,0.02428331894359553,-0.020601056635518762,0.6300552313473646,True,False
RECQL4,2.5771924003729993,3.536536922589399e-19,34.701871584699454,4.733727810650888,0.2760714441788565,-0.15933077333101267,0.00017775070318346814,False,False
FBN2,2.5730363400336485,0.00015522165341207766,22.168731329690345,13.214990138067062,0.11342135329257204,-0.05006283971702184,0.24157037923638464,False,False
PSORS1C2,2.565247516963269,0.028672537851190043,7.296408196721312,1.183431952662722,0.30498565294364377,-0.04720973121874042,0.2694830072228484,False,False
MYEOV,2.56313634362995,2.8085482508803496e-12,7.371405464480874,1.5779092702169626,0.837161044748667,0.11563556284281967,0.006680669994640394,False,True
ALDH3B2,2.56177740212034,1.1254853115936544e-11,50.74545701275046,2.7613412228796843,0.25152018775759827,-0.11529169884799897,0.0068461542551269215,False,False
PCSK9,2.558813144018723,2.5173612848642582e-11,9.280489253187614,3.155818540433925,0.04079572219641444,0.07083624710383869,0.09730805358821497,True,True
VIL1,2.5505427652623682,1.1568771517686781e-11,5.1889517304189425,4.142011834319527,0.31519303867213194,0.0811535987703905,0.057394952628122727,False,True
JPT1,2.5465423268986944,9.721949386494628e-20,145.02200692167577,1.5779092702169626,0.30582077120206425,-0.07934542263607719,0.06319526735050139,False,False
MCM10,2.5402743955338276,1.2365883553482075e-18,8.098214389799637,4.142011834319527,0.007868057483081748,-0.003983341926806814,0.9258079703246734,True,False
TEDC2,2.537806617951089,7.66324917133996e-19,18.539030054644808,3.155818540433925,0.32028038546349147,-0.09802919885759352,0.02160750063908823,False,False
ANLN,2.528986834693348,3.819104690973757e-17,18.197603460837886,6.31163708086785,0.07199446838402156,0.03694279156287054,0.38763223220229626,False,True
KRT8,2.5179940202837923,8.702977859328615e-18,633.0927524590164,3.353057199211045,0.7975614089567014,-0.06557580108854491,0.12487222786117895,False,False
GLDC,2.5138497874900585,1.9904871234737574e-07,9.179922950819671,6.903353057199212,0.0026465064676207983,0.03888230506110889,0.36318708371980063,True,True
DEPDC1B,2.511248191990561,1.0267620309280905e-17,9.90821857923497,4.142011834319527,0.002918993686019747,0.009192004133424867,0.8298537164052489,True,True
STC2,2.498721087946002,3.328992435042417e-14,34.468407832422585,1.7751479289940828,0.4754458490956833,-0.013623346060823625,0.7501114338250207,False,False
KIF11,2.4889028814582552,3.4616974735930394e-17,25.86007923497268,6.70611439842209,0.43715508044285256,-0.028715828864207472,0.5019413587536703,False,False
CDC25C,2.4880786515539564,8.130996223502175e-19,9.180503642987249,3.155818540433925,0.05307370105701605,-0.1041548910185981,0.014626049819458153,False,False
FUT3,2.477527311625418,1.3771764422212456e-11,12.865964298724956,4.142011834319527,0.28568671688886893,-0.00788770828620204,0.8537023829349772,False,False
EXO1,2.469846005402519,3.390800050814441e-18,9.804663387978144,4.733727810650888,0.005222491497084046,-0.018256515133384825,0.6695072221501301,True,False
SPINK5,2.469590990618511,2.665207919247062e-06,8.478236429872496,7.889546351084813,0.3998969085238019,0.007044575990866996,0.8691915129645659,False,True
LMNB1,2.46321843986348,5.161385048023793e-17,87.70935974499089,2.7613412228796843,0.3310450812101716,-0.03251210199397348,0.44710659790351953,False,False
PIMREG,2.4629744054224765,3.977582090101876e-17,16.063659927140254,3.155818540433925,0.10382288526522272,-0.06578611289392672,0.12366453893288228,False,False
ECT2,2.462800829981436,7.939090693094176e-16,35.91064189435337,4.142011834319527,0.29886993922444727,0.051167484344461736,0.23132836209306315,False,True
MAB21L4,2.4622238788150925,7.480315973596706e-12,14.731802914389798,1.9723865877712032,0.2600256958056931,-0.0030477081452311805,0.9432007872581077,False,False
CCL20,2.459945910117344,2.3861637051224803e-08,31.01573806921676,1.7751479289940828,0.08067578568891952,0.21721451234988295,2.756382094648584e-07,False,True
