sample_id,subtype,TMB,immune_score,CD274,PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,IDO1,VTCN1,CD276,PDCD1LG2,CD8 T_score,Treg_score,Cytotoxic_score,NK_score,B cell_score,Macrophage_score,DC_score,Neutrophil_score
TCGA-AJ-A3BG-01A,IS1,31.0,2.424569871718041,0.4493,1.7204,0.1568,2.3884,6.6606,0.5234,9.1883,115.6053,136.8656,0.207,1.3905157055570552,0.9919828988848961,2.2624174236830004,1.058493255826899,0.12015123547363667,1.5295846154588133,0.8656292391470878,1.1593343640451064
TCGA-B5-A11F-01A,IS1,0.9473684210526315,2.468478263399542,0.784,3.2252,4.5148,2.1077,2.8576,1.1897,4.155,7.7669,143.6105,1.3905,2.4748340071645387,2.010174938070343,2.9399858083866572,0.7682736272077628,0.8051263642092601,1.4607051112080516,1.3741574854737313,1.4481806781357716
TCGA-DI-A1BY-01A,IS1,1.394736842105263,2.7064821739964935,0.471,6.6634,3.4656,10.5867,3.3798,2.3999,8.3203,32.2065,34.6455,1.0607,2.2244507417841,1.4316377801822713,3.298949015187948,1.6285892415534078,2.9012929841215436,0.7197652739495756,1.3653334723625,2.988776203416164
TCGA-AJ-A3BI-01A,IS1,0.868421052631579,2.8747711985125495,0.5603,1.7013,5.1625,14.4229,5.428,2.0216,89.0827,53.4728,106.0443,0.5205,1.7334114295711949,1.7757313751734174,3.5144842438227073,1.5580831382395441,1.219658709799125,1.651788985811767,1.3854855249775795,1.7902416861889945
TCGA-E6-A1LZ-01A,IS1,5.315789473684211,2.8334295620497603,1.7538,9.5183,1.9868,12.6763,6.1406,1.7451,217.825,178.2315,47.2681,1.0198,2.4432717395559878,1.3333963794878116,3.3699869160374707,1.7179532716045633,1.783993429750347,1.2261097439689816,1.615984747638832,2.2611911696455977
TCGA-D1-A1O7-01A,IS1,6.684210526315789,2.728082014859061,1.7871,1.6957,0.9112,3.2655,4.3211,1.5819,35.8787,191.8599,79.7423,0.4717,1.953939249293018,1.7612712738731295,2.3572881198745264,1.4260897087178002,1.3056830571311229,0.6843805636076056,1.547869321237069,2.945281987000957
TCGA-D1-A1O5-01A,IS1,1.2105263157894737,2.4693959338654405,0.9686,1.0301,0.2656,2.3809,9.1318,0.224,38.3303,70.2328,50.8916,0.8414,1.3893948296807102,1.642190239307233,1.2391647789021594,1.1521621664480493,1.4247695812594159,1.100331489579143,1.2561735718238976,2.1309405788237616
TCGA-D1-A1NS-01A,IS1,6.7631578947368425,2.462571628119077,0.7376,0.6193,0.5057,1.4165,5.4583,0.533,91.6239,163.1397,60.8831,0.2225,1.5816874692924212,1.3574034932213686,1.8339155134023049,1.1298359854644329,0.9436647680478378,0.42753497499271353,1.9709597890582007,3.532663604065293
TCGA-EO-A1Y7-01A,IS1,1.105263157894737,2.5829014328656994,0.9814,6.472,2.9985,10.4057,5.9225,1.8366,62.6788,40.3895,42.387,0.5604,2.1758933614479217,1.6653848797252753,3.6966510635439445,1.632396862333681,1.48762777857425,0.9133120729570452,0.9928745210651169,1.138501954284209
TCGA-AJ-A5DV-01A,IS1,1.9736842105263157,2.867667257152885,1.6399,0.7027,0.8526,1.217,13.1304,0.8986,80.6964,178.9248,54.9413,1.385,1.1219438507725366,1.7806163846160465,1.8806459830384783,1.2312070822821888,2.438988258621404,1.5178830978296214,2.2091093836512785,4.918689243773169
TCGA-D1-A17U-01A,IS1,9.921052631578947,2.6115406579337366,0.9299,2.0896,1.3651,3.8236,9.3047,1.9737,19.4239,212.351,99.2796,0.9702,1.6967648770027715,2.17537967673283,2.2758076488023162,1.2031230093063645,1.442568032169181,1.6390076026328504,1.6394306444913145,2.42696769874312
TCGA-DF-A2KR-01A,IS1,2.1842105263157894,2.8624490982976574,1.1894,1.3398,1.1416,1.9986,6.6553,0.8423,64.1061,380.8872,43.1392,1.2055,3.23458479184037,1.8116111435985196,2.2108460066819866,1.1767027466341582,1.254709174673146,1.6015765500594519,1.4916548831415921,5.1054048979032975
TCGA-DF-A2KV-01A,IS1,31.236842105263158,2.985522445737809,1.27,1.1342,1.1473,3.4898,11.0119,1.3226,116.8038,187.593,122.0859,0.4101,1.5987220717037356,1.298558718947441,2.6606635911846146,1.6531182027317797,1.304118661581499,0.9272262429825752,2.1999464537857314,6.126531955143101
TCGA-AJ-A3NC-01A,IS1,,2.7672798662615716,1.4071,7.6923,20.9172,1.5835,4.4152,0.5186,41.9494,183.0499,58.7028,1.0502,1.9669909667921948,1.783433815232904,2.755969130322163,1.1052401222616528,0.7364047017649801,1.2981396620810874,1.6726783174696305,5.010314934027867
TCGA-AJ-A3OK-01A,IS1,14.921052631578947,2.6996752964937794,0.865,3.8633,1.7489,2.4649,7.5077,1.789,5.5553,1.8312,22.4783,1.5974,2.417005219565,1.377300222454883,2.744543705492067,1.487598870262408,1.326670487354109,1.8951279223519661,2.1319232038564935,0.8370924231859828
