antigen,spearman_r,pvalue,n,FDR
SRD5A3,0.06144694522102683,0.1504836257232235,549,0.2841928246695449
PLPP4,0.041707564203133735,0.32934375173872205,549,0.4989220917068083
GPRIN1,0.10828371258867933,0.011121602258065787,549,0.04050203439152307
ASRGL1,0.03900130900968523,0.36171919199406516,549,0.5345761510000786
BATF,0.43830208235712914,3.537799958733426e-27,549,2.432757736329044e-25
RHEX,0.06729482343314319,0.11526568201783476,549,0.237646529592326
CABYR,-0.017324108622421414,0.6854613034310374,549,0.8069529342506372
IGF2BP1,0.05496010957383432,0.19851518011741962,549,0.3474015652054843
TMEM125,-0.08176741689964138,0.0555292153096014,549,0.14177494242906946
MAGEA10,-0.016684560582085558,0.6964863603153859,549,0.8150075627714576
KIF22,-0.07980172817927503,0.06168776877224797,549,0.1544175625155415
SLC14A2,0.0033766191073879275,0.9370830414127445,549,0.9685677059341277
M1AP,-0.04476423375028721,0.2951024400987948,549,0.4605804438925115
ANGPTL4,-0.11741758859384803,0.005879174849508292,549,0.02490128767780867
SLC12A8,0.060927910189606985,0.15396724168716197,549,0.28890482428939385
P4HB,-0.009637212135716385,0.82174772089397,549,0.8977637641759662
CDC7,0.002057647228374095,0.9616346504528945,549,0.9817911846108592
TUBG1,-0.04809693198588736,0.2605764418579399,549,0.4227004102138462
CPA4,0.00011139307685190114,0.997922251650336,549,0.9979222516503361
PHYHIPL,0.10266210275166691,0.01611377770000684,549,0.05321188172685874
ZDHHC12,-0.08539399015885796,0.045506850050377017,549,0.12173342725146621
SLC25A39,-0.14378445215587732,0.0007278402404101964,549,0.004501826672166771
YBX2,-0.1428241430658578,0.000790586566965341,549,0.004813519254075436
RELT,0.07482803926507206,0.07981898492625798,549,0.18476909579959522
BICDL1,0.13553246960450505,0.0014571325879902356,549,0.007959756987666287
BOP1,-0.15681116538122641,0.00022542692049206273,549,0.001678497261498225
CAMSAP3,-0.10889582676108943,0.01067099405629588,549,0.03935139448520468
TFR2,-0.1285307614663863,0.002550947954640291,549,0.012587306105691098
TMEM63B,-0.03883646806705321,0.36375346491994925,549,0.5362267345415141
CCL24,0.18293488486770265,1.6106894569799084e-05,549,0.00017117236138268298
PLEK2,0.055743434101696646,0.19218325079719556,549,0.3387405478156931
PARPBP,0.04171723290794568,0.32923154668033544,549,0.4989220917068083
UGT3A2,0.003222153709677987,0.9399556595685683,549,0.9706785919042901
MIOX,-0.0075859686491610324,0.8592394850052734,549,0.9216064736480379
DDIT4,-0.015319401989259594,0.7202325945863897,549,0.8283905202100014
RDM1,-0.11802163572133605,0.0056277876650659125,549,0.023923213747134735
FOXP3,0.4693920345996295,1.978049037736963e-31,549,2.1021266591950085e-29
SLC19A1,-0.12642473556916542,0.003003404616239953,549,0.01415717740477623
SYT17,-0.005612315772744167,0.8956154571268373,549,0.9406778700640368
ITPR3,0.06919323666242418,0.10534068403997174,549,0.22469596242957404
IGSF3,0.015123884531566715,0.7236563037342089,549,0.829366881436559
CLRN3,0.09581990662180376,0.02475637923781618,549,0.07497463038602879
ENTPD3,0.026216383740459617,0.5398930080091837,549,0.6983651114472161
ARHGEF19,-0.16553537345820374,9.75153787061422e-05,549,0.0007861757083274499
BAIAP2L2,0.06105246665021281,0.15312573061204546,549,0.2882295390486406
PDZK1IP1,0.1536006859355918,0.00030357055158734223,549,0.002137795028949416
GIPC1,-0.07435486853699132,0.08174855107441091,549,0.1881182208779259
RAPSN,-0.07536159194389486,0.07768764195223526,549,0.18163370688432603
GCNT3,0.12040605774201842,0.004727202429327094,549,0.020694515244883825
NBEAL2,-0.06651596737991378,0.11954386413476847,549,0.24303787334529453
OR2B6,-0.060767148662100916,0.1550585323867064,549,0.29048625698727526
TCHH,0.11140795060234823,0.008986707313301059,549,0.034671487951316624
MMP15,-0.027153357192845052,0.5254998651898238,549,0.6856131053648483
PPIF,-0.020002465724614824,0.6400339596994584,549,0.7753849651151222
PCNA,0.03222491759765902,0.451132266245694,549,0.6189831211751364
CDH18,-0.08507671886902984,0.04631826795760214,549,0.12305921646008387
