uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,968,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,9.84
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,29126,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,6.36
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,80381,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,10.68
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,9074,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,4.44
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,283420,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,0.0
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,1493,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,5.25
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,1515,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,10.37
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,4283,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,7.06
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,50943,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,2.6
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,3002,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,6.22
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,84868,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,9.28
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,3458,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,2.6
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,3394,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,9.46
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,3902,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,3.48
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,4118,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,6.13
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,94025,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,14.66
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,5133,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,4.09
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,55509,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,4.89
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,6772,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,13.14
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,7040,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,7.44
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,201633,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,6.69
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,79679,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,11.74
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,2829,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,2.38
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,898,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,8.51
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,925,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,7.53
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,968,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,11.14
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,29126,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,7.79
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,80381,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,10.65
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,9074,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,3.24
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,283420,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,4.85
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,1493,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,5.71
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,1515,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,12.92
