gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR
LY6G6C,2.3581440029841247,24.37339034608379,3.9488742857142856,0.34111155564388584,0.38980802417488597
ODF2L,0.23176547741003617,11.496777231329691,9.642157142857144,0.3413024395324763,0.38991813360411515
DUS3L,0.012049011685856925,21.77905245901639,21.5896,0.3413024322606715,0.38991813360411515
WNK2,0.1778997779564735,17.9365233151184,15.739677142857142,0.3413024468042809,0.38991813360411515
LMF2,-9.065132625707406e-05,99.58663661202185,99.59295714285713,0.3413024468042809,0.38991813360411515
FERMT3,0.3963571926396825,18.299103642987248,13.662962857142858,0.34182690637957325,0.39049025768246776
TTC4,-0.03879066176300672,1.117935519125683,1.1756542857142858,0.34208920582360847,0.3907628413541433
HOXD13,1.4971026244748717,2.0542826958105644,0.08202285714285715,0.34227862792357444,0.39095214646103094
ZW10,0.21620492532007418,21.173138615664847,18.08723428571429,0.34235187402960665,0.39095461602308684
TUT7,0.0401576305330531,13.39084189435337,12.995794285714284,0.34235188129988703,0.39095461602308684
LYAR,0.2870659266199693,28.079262659380696,22.832408571428573,0.34235188129988703,0.39095461602308684
EN1,0.9534203054159491,1.0612766848816029,0.06445714285714285,0.34287194278582844,0.39152140864345225
NFKBID,-0.0810794286891765,7.861260473588343,8.373522857142857,0.34314028802524876,0.39180071090321505
MATN3,0.33558122102188004,2.546497267759563,1.8104742857142857,0.34340333334389883,0.3920739234261345
FECH,0.06838595618315724,11.577185792349727,10.994917142857142,0.3439298903113708,0.3925936103412678
METTL3,0.11100982025446537,18.682666666666666,17.224962857142856,0.3439298975792425,0.3925936103412678
CST3,0.3165637295345256,533.0124453551913,427.8014057142857,0.3439298975792425,0.3925936103412678
CIBAR1,0.005144244025244493,11.052877777777779,11.009977142857142,0.3444569260551157,0.3931680065073543
CD1B,0.1707748295652321,0.47872222222222216,0.3136457142857142,0.3446507806786956,0.3933620601616824
CIITA,-0.10395466300657352,4.002868670309653,4.37666,0.34498446232700486,0.39371566543102704
KRTAP23-1,-0.13745529019880331,0.08633242258652093,0.19492571428571429,0.3457039165077477,0.39450945663310655
TMEM156,0.05762957772278321,0.9016098360655738,0.8271457142857143,0.3457758315008985,0.39456423212766795
RAB1B,0.1506254082478673,143.28007304189435,128.9761257142857,0.3460411306712048,0.39481234950301086
OGFOD3,0.12197495995380159,27.447205282331513,25.140957142857147,0.3460411306712048,0.39481234950301086
ZNF669,0.3057292287038553,9.90088087431694,7.819174285714286,0.3465702190256842,0.3953613244008946
TOR1A,-0.011572569811606037,34.21173624772313,34.49532285714285,0.3465702190256842,0.3953613244008946
KRTAP1-5,0.4124011029012515,0.6197497267759563,0.21703428571428574,0.34677466989841377,0.39556720624932795
WDR91,0.14909846313885478,24.163467395264117,21.692762857142856,0.34709983671926314,0.39591075125790953
PSTPIP1,0.27910474034138066,3.7528706739526414,2.9168514285714284,0.34816056545059326,0.39706575752654116
TNFSF9,1.055302209989197,6.004837887067395,2.3707028571428572,0.34816057997205385,0.39706575752654116
TGM1,-0.39684894669585624,4.390610382513661,6.097434285714286,0.3484260711060212,0.39734107424532644
SYVN1,0.10364292923635077,52.61456284153005,48.898,0.3486917562256512,0.3976165741091231
ACTR6,0.012642376163475078,19.73613460837887,19.555217142857142,0.3497556014759817,0.3987745703448242
NEK11,-0.3659331796739589,9.859752823315118,12.995125714285715,0.3497556087337621,0.3987745703448242
TRMT112,-0.009322844112556794,400.18244316939894,402.78332000000006,0.3502883066299515,0.39932673319381834
CCDC190,0.5159709922084526,0.6751978142076502,0.17150285714285712,0.35026765267688054,0.39932673319381834
HS3ST2,-0.08806385723666188,0.879251912568306,0.9975371428571429,0.35054982707645066,0.39959725330665946
TMEM126A,0.11424586882067711,49.51654899817851,45.670477142857145,0.35082151160287733,0.3998517041885551
MBD6,0.1710958078080731,42.152742805100175,37.32687714285714,0.35082151885860924,0.3998517041885551
SARNP,0.14682342163450973,0.3121187613843352,0.1851542857142857,0.3510614792120591,0.4000762410623692
GSDMA,0.3382528897642728,1.1951058287795993,0.7363257142857143,0.3510670227821505,0.4000762410623692
EFHB,-0.8983149247197524,2.43780218579235,5.407677142857143,0.35135520181845814,0.4003769940323886
ADORA2B,-0.2109116066182839,3.0537550091074683,3.6918942857142856,0.3516222433813577,0.40065362050594927
ZSCAN9,0.1319085304128791,14.283078506375228,12.947694285714286,0.3524242335492569,0.4014842566700484
EXO5,-0.008899446995062732,4.022990710382514,4.0540714285714285,0.3524242335492569,0.4014842566700484
RAB27B,0.586759721946746,2.9402025500910742,1.6235314285714288,0.3524242262967211,0.4014842566700484
NUTM2E,0.023942034425994158,0.13901785063752276,0.12027142857142858,0.35319605978194046,0.4023157999762625
ZNF419,0.010337728860487783,3.807355737704918,3.773031428571429,0.35322732226064746,0.4023157999762625
MADCAM1,-0.024077862023601515,0.8725065573770492,0.9040199999999998,0.35322716274118526,0.4023157999762625
ATP6V0E1,0.1065351261350802,329.2598985428051,305.75070857142856,0.3540315890326813,0.4032040008188027
PAQR5,0.364036439903338,2.2399559198542804,1.5174057142857142,0.35429987204507396,0.4034538850730446
BMS1,0.1523404917854254,25.10152896174863,22.485882857142858,0.3542999082881725,0.4034538850730446
COL11A2,0.8895221472804438,2.7573406193078323,1.0281857142857143,0.3545683704820026,0.4037317258756353
METTL6,0.09500299340484508,7.379521493624772,6.845497142857144,0.3551057018893128,0.4043156569889498
OTOR,0.7493361215147749,0.6972049180327867,0.009628571428571427,0.3555412665159493,0.4047836460548017
LURAP1L,0.019258131159312963,11.079184517304189,10.919014285714287,0.35564354692605404,0.40487215271777804
HBA1,-0.6290582119297419,7.40389635701275,11.997088571428574,0.3560987087189561,0.40536234709482766
NPIPB12,0.05914987253850956,0.3010881602914389,0.24882285714285715,0.35614910001566835,0.4053917381025594
