gene,mean_pos,mean_neg,log2FC,pvalue,u_stat,FDR
SH3BGRL,133.05805656565656,120.06225755555555,0.14815589675325236,0.041248771716171584,25192.0,0.15423813536397962
NAALADL1,2.874660606060606,2.584529555555555,0.14805578504207936,3.07595042540943e-05,28231.0,0.00043767722083688375
TNFAIP2,233.06875252525256,210.3284708888889,0.14804454874420656,0.032777647838921696,25326.0,0.13244642439139398
DEFA3,0.158189898989899,0.13303133333333333,0.14790860772017414,0.6550962169348218,22718.5,0.8215699040345205
CNNM4,18.339857575757577,16.54752288888889,0.147519989105977,0.4970276987930712,23246.0,0.7148608372621366
GHRL,1.593859595959596,1.4292615555555555,0.1474791170682934,0.005680374175887385,26227.5,0.035855799064863136
ISLR,146.11758787878787,131.9136822222222,0.14742939546078973,0.09984135513014603,24627.0,0.2768585033659509
DUSP1,167.48006565656564,151.21519177777776,0.14729370583039514,0.1425203744236837,24371.0,0.3465405399500997
CHST7,7.119483838383839,6.418864222222223,0.1472750679295426,0.05948233412557306,24968.5,0.19821943469322484
BHLHE41,30.185341414141416,27.247334666666667,0.1472194438052758,0.09847921083769344,24636.5,0.2743875171920188
CFL2,13.759015151515152,12.415681555555558,0.14708788365996048,0.2702165252073493,23851.0,0.5090798493900334
EIF2AK2,25.764348484848483,23.258059999999997,0.1470443945617887,0.030557404394530585,25366.0,0.12629490419380268
PNLDC1,3.619125252525252,3.2594066666666666,0.1467568869005067,0.7560052136604026,21830.5,0.8812519327289368
FUT8,15.67568888888889,14.149897333333332,0.14675148074817337,0.02631211846960159,25450.0,0.1135582052033743
COL3A1,387.40787373737385,349.93227711111115,0.1467376629566167,0.038348248965568356,25235.0,0.14702002482891693
ST6GALNAC4,35.50143939393939,32.060999555555554,0.14662332585295934,0.005897331380043523,26210.0,0.036925178677867404
RRP7A,33.99343131313132,30.699863999999998,0.14656982540565366,0.07405283721885844,24828.0,0.22860963621279637
C2orf78,0.08741515151515153,0.06931888888888889,0.1464946654197833,0.8448771938182611,22010.0,0.9295508575138922
SCO2,1.4785161616161615,1.3261519999999998,0.1464412785978781,0.028163025929266946,25412.0,0.11893858964985943
PRDM13,0.2900121212121212,0.2523768888888889,0.14639965601389934,0.5499205841412167,23101.5,0.7531759157359874
ZNF560,0.23303737373737377,0.20091311111111113,0.14633711901546484,0.20433346061487223,24001.5,0.43260792223582745
HGF,0.8066666666666665,0.7192426666666667,0.14628139189390718,5.200880986863466e-07,29447.0,9.348545959029412e-06
CNP,66.84613131313131,60.392930888888884,0.14623412630714772,0.03237941623745134,25333.0,0.13152153381261558
PI4K2A,28.1188404040404,25.39908511111111,0.14621321938015125,0.006784357625533319,26144.0,0.04104525353454757
PRKG1,0.7346626262626262,0.6542844444444444,0.14608449907681267,0.20627578524239865,24081.5,0.4348050891748243
PROK1,0.5925636363636364,0.5259895555555555,0.14580805317410256,0.9221151054448605,22413.5,0.9661855471284969
IGF2BP3,3.9140141414141416,3.528184222222222,0.14579798830782045,0.22884482772320525,23995.0,0.4629063037449653
PARP4,42.60233434343435,38.49991488888889,0.1457172711947477,0.2729625095798318,23842.0,0.5123888560576133
APOA5,0.08253535353535355,0.06500444444444443,0.14567102850690075,0.8179599962010292,22566.5,0.9150077614587521
KRT36,1.5863464646464644,1.4244766666666666,0.14558690358937315,8.81569952276867e-06,28602.0,0.00013612841856227442
SPSB2,23.15823838383838,20.925808444444442,0.1455805556041139,0.14138075611798076,24377.0,0.34475895192511147
