gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR,mut_freq_pct,n_mut_samples
CYP4F11,1.65823915581957,8.156168306010928,1.9009085714285716,0.00015009776797217017,0.0002943396425456112,5.719921104536489,29
PRSS22,1.6542216415315503,33.26148451730419,9.885185714285717,4.701340376610488e-10,1.945390356993224e-09,1.183431952662722,6
KCNJ15,1.652329388975639,2.9644657559198544,0.2612,4.773926220414303e-08,1.486610721565357e-07,1.9723865877712032,10
ABCG1,1.6485221494249895,32.71393278688525,9.753622857142858,1.641980373878937e-13,1.169662876004089e-12,4.733727810650888,24
TBC1D7,1.6470360158469277,11.37836903460838,2.9523571428571427,7.112613045045943e-22,1.209327429605379e-19,3.353057199211045,17
ELF3,1.6464953402768359,107.28129289617486,33.586685714285714,1.6901233017707652e-12,1.0124783671973161e-11,2.366863905325444,12
ANO9,1.6462430519127964,19.441836612021856,5.530574285714285,3.9146177336024415e-15,3.770190506069649e-14,5.128205128205128,26
NFE2L3,1.6447586343733245,18.115882331511838,5.113257142857144,7.3863802757302565e-09,2.5633256581615012e-08,4.339250493096647,22
PROM2,1.6423388478024914,44.081676867030964,13.441317142857141,1.2373355372009074e-09,4.809981548713612e-09,4.142011834319527,21
ATP6V0A4,1.6414340410836297,2.9279533697632054,0.2590571428571429,3.8752426677872684e-10,1.6206274659861687e-09,5.9171597633136095,30
FA2H,1.6376717948719515,8.771326958105648,2.1402571428571435,3.4968057223545133e-11,1.7108630132682315e-10,1.7751479289940828,9
NR2F6,1.6376671142043433,182.3482573770492,57.92368,2.535315878961137e-17,3.934867485522186e-16,1.183431952662722,6
NEUROG2,1.6362117293131015,2.297498907103825,0.06080571428571429,0.0030387608486344597,0.004955369821169449,1.7751479289940828,9
XRCC2,1.6353691392712058,6.092767941712203,1.283077142857143,2.6275799817371267e-16,3.2423197111966427e-15,2.1696252465483234,11
SCNN1G,1.6338298465430032,27.534777049180327,8.194808571428572,0.00010956254146376778,0.000218650900220087,5.128205128205128,26
HOXB6,1.6325439822443313,51.47356120218579,15.92372,7.301509259172581e-08,2.2171967560800524e-07,1.183431952662722,6
ENO1,1.631139024667453,1144.369341712204,368.76328000000007,8.384542527254287e-17,1.1556239149092835e-15,2.9585798816568047,15
CA6,1.6307941555652603,2.172989799635701,0.02459142857142857,2.571121318213259e-06,6.360527741472837e-06,1.183431952662722,6
OPRK1,1.6281708510407547,2.6717548269581055,0.1878057142857143,4.291205280399035e-08,1.3438934076693864e-07,4.339250493096647,22
USP18,1.6267063548450267,19.735873588342436,5.714828571428571,6.277493825547114e-10,2.5515174460181394e-09,2.1696252465483234,11
MAP2K6,1.6226612040066772,19.58338123861567,5.684162857142857,4.231376372022064e-09,1.5248852639934473e-08,3.353057199211045,17
DLX2,1.6197249151382782,2.1716899817850637,0.032060000000000005,7.127038714234956e-09,2.4801072496825208e-08,1.9723865877712032,10
TRAIP,1.6195941609032634,13.53724335154827,3.7308114285714282,1.1417512486272831e-17,1.941918773180713e-16,3.9447731755424074,20
MSI1,1.6189814712459016,43.54076921675774,13.500925714285716,3.2943750113051225e-09,1.209134570333969e-08,1.5779092702169626,8
SLC30A2,1.6178470556706552,6.720296174863387,1.5154371428571427,3.4462168271165554e-06,8.358833026190663e-06,2.1696252465483234,11
IL19,1.6159773032496714,2.63254116575592,0.18509428571428568,5.161890111939397e-11,2.443640260165744e-10,1.183431952662722,6
OAS3,1.615468231751775,36.67945191256831,11.297028571428571,7.29828947126253e-07,1.9420520303509527e-06,5.9171597633136095,30
