gene,log2FC,FDR,mean_tumor_tpm,mut_freq_pct,km_logrank_p,apc_spearman_r,apc_spearman_p,prognostic,apc_positive,antigen,cdc1_rho,cdc1_FDR
LAMP3,1.875058008554052,6.8553763539071116e-09,10.096761020036432,2.564102564102564,0.0039476957865217,0.4478776518982997,1.9289358363718634e-28,True,True,LAMP3,0.3259868333561871,1.8159379339551777e-13
GNA15,1.2480499865967063,5.071651466547894e-09,11.958930418943536,1.7751479289940828,0.0272980048125056,0.3615700864091435,2.127421460942084e-18,True,True,GNA15,0.3030565557453196,1.3710093620084688e-11
HLA-DMB,1.0582428182607604,0.0014340699989047,53.031171948998185,1.3806706114398422,0.000612919686283,0.2966300796646615,1.2961504350738317e-12,True,True,HLA-DMB,0.2902046914036863,1.3665236523490792e-10
OAS1,1.4334569669883177,0.0166605346888878,27.067445719489974,2.366863905325444,0.0037209318684456,0.3293057897389596,2.3699910316546352e-15,True,True,OAS1,0.273573596440654,2.2181388256978588e-09
OAS3,1.615468231751775,1.9420520303509527e-06,36.67945191256831,5.9171597633136095,0.0020568737709888,0.3301549477693342,1.9908314044664928e-15,True,True,OAS3,0.256815992704646,2.48199459335584e-08
ANKRD22,2.289529698606641,2.8991264964710406e-14,8.276717304189436,2.564102564102564,0.0166895481456154,0.2387361754206449,1.4865696920091805e-08,True,True,ANKRD22,0.2373973957124928,3.623600184172329e-07
FBP1,1.0325743253774546,0.0038217024681283,20.465035701275045,2.366863905325444,0.0175566610822945,0.3120012618708323,7.358340464675597e-14,True,True,FBP1,0.2241221839067956,2.135246794773908e-06
OASL,2.01073931948925,2.7259355054532868e-08,11.991894535519126,2.7613412228796843,0.0332353303037569,0.3524579285737597,1.6763958256814934e-17,True,True,OASL,0.2168909388246471,5.249136963524511e-06
CTHRC1,1.7763207493647737,7.548081387250194e-06,49.42781329690346,1.7751479289940828,0.0206431633738339,0.095118590475776,0.0258355240613337,True,True,CTHRC1,0.2106340900932262,1.046666305378517e-05
THEMIS2,1.5651982952051782,6.508074012076846e-10,23.268883424408013,4.142011834319527,0.0263875821621174,0.3177739640833482,2.397343810713779e-14,True,True,THEMIS2,0.2057460485991792,1.7424120517222444e-05
PARVG,1.4603167720695347,5.0772555561645e-08,10.68693679417122,2.564102564102564,0.0001036721618475,0.2528760864599084,1.8608061589328882e-09,True,True,PARVG,0.2032393094520652,2.219177708878894e-05
SHH,1.02140460776691,0.0003892762885208,5.576526958105646,2.7613412228796843,0.0023712295573296,0.1363243824362651,0.0013654245121711,True,True,SHH,0.199269011955954,3.43208052094815e-05
MICB,1.1188219782792022,7.794982859284072e-06,9.632132058287796,2.564102564102564,0.0272417443909652,0.2103022401942934,6.625982324248197e-07,True,True,MICB,0.1889903651444577,9.587010579966524e-05
TCN1,1.551749402666422,0.0235968285353296,10.986488524590165,2.9585798816568047,0.0144851212156064,0.1457024953419788,0.0006160939221123,True,True,TCN1,0.1889654979272413,9.587010579966524e-05
