gene,mut_freq_pct,n_mut_samples
JARID2,10.256410256410255,52
CASP8,10.256410256410255,52
TRO,10.256410256410255,52
SCN7A,10.256410256410255,52
HEPH,10.256410256410255,52
CENPF,10.256410256410255,52
ALG13,10.256410256410255,52
MAP3K15,10.256410256410255,52
HDAC6,10.256410256410255,52
TECTA,10.256410256410255,52
CADPS,10.256410256410255,52
ATAD2B,10.059171597633137,51
YLPM1,10.059171597633137,51
CDH19,10.059171597633137,51
CRACD,10.059171597633137,51
PI4KA,10.059171597633137,51
CCDC73,10.059171597633137,51
SMC1A,10.059171597633137,51
GPRASP1,10.059171597633137,51
TET1,10.059171597633137,51
CRB1,10.059171597633137,51
MORC4,10.059171597633137,51
MYH11,10.059171597633137,51
DHX9,10.059171597633137,51
DOCK5,10.059171597633137,51
GIGYF2,10.059171597633137,51
PEG3,10.059171597633137,51
TRPM1,10.059171597633137,51
CEP170,10.059171597633137,51
TCERG1,10.059171597633137,51
MCF2L2,10.059171597633137,51
KIF21B,10.059171597633137,51
DOP1B,10.059171597633137,51
EIF4G3,10.059171597633137,51
ITSN1,10.059171597633137,51
PIKFYVE,10.059171597633137,51
ZNF831,10.059171597633137,51
DOCK6,10.059171597633137,51
ZFC3H1,10.059171597633137,51
PLCH1,10.059171597633137,51
IQSEC2,10.059171597633137,51
ZNF106,10.059171597633137,51
ATG2B,10.059171597633137,51
HDLBP,10.059171597633137,51
ADAMTSL1,10.059171597633137,51
FRMPD1,10.059171597633137,51
COBLL1,10.059171597633137,51
SIN3A,10.059171597633137,51
COL4A4,9.861932938856016,50
MAP3K4,9.861932938856016,50
PHF2,9.861932938856016,50
CCDC88A,9.861932938856016,50
MAP2,9.861932938856016,50
LAMB1,9.861932938856016,50
KIF1B,9.861932938856016,50
EML5,9.861932938856016,50
GRM7,9.861932938856016,50
BDP1,9.861932938856016,50
INSRR,9.861932938856016,50
DHX34,9.861932938856016,50
RGS12,9.861932938856016,50
DYRK1A,9.861932938856016,50
NEURL4,9.861932938856016,50
NSD3,9.861932938856016,50
NOTCH2,9.861932938856016,50
PTCH1,9.861932938856016,50
ADAMTS20,9.861932938856016,50
TLN1,9.861932938856016,50
ADNP,9.861932938856016,50
SMARCA4,9.861932938856016,50
ATP10A,9.861932938856016,50
FER1L6,9.861932938856016,50
XRN1,9.861932938856016,50
FRMPD4,9.861932938856016,50
SLX4,9.861932938856016,50
NKTR,9.861932938856016,50
SPOP,9.861932938856016,50
ALPK3,9.861932938856016,50
C6,9.861932938856016,50
MTUS2,9.861932938856016,50
MYH4,9.861932938856016,50
