gene,mut_freq_pct,n_mut_samples
NCOR1,12.03155818540434,61
PTPRB,12.03155818540434,61
TRIP12,12.03155818540434,61
FLNC,12.03155818540434,61
PKD1L1,12.03155818540434,61
TAF1L,12.03155818540434,61
NAV1,12.03155818540434,61
ARID4B,12.03155818540434,61
CDH10,12.03155818540434,61
MED13L,12.03155818540434,61
SCN9A,12.03155818540434,61
PXDNL,12.03155818540434,61
DSP,12.03155818540434,61
TRPM3,12.03155818540434,61
AKAP6,12.03155818540434,61
CUX1,12.03155818540434,61
GREB1,11.834319526627219,60
LCT,11.834319526627219,60
FRYL,11.834319526627219,60
THOC2,11.834319526627219,60
KIF26B,11.834319526627219,60
ZNF462,11.834319526627219,60
DOCK2,11.834319526627219,60
MYH3,11.834319526627219,60
PLEC,11.834319526627219,60
HECW2,11.834319526627219,60
F5,11.834319526627219,60
CHL1,11.834319526627219,60
ZAN,11.834319526627219,60
MED12L,11.834319526627219,60
LRBA,11.834319526627219,60
UBR5,11.834319526627219,60
DOCK7,11.834319526627219,60
TNXB,11.834319526627219,60
MYO7A,11.834319526627219,60
SPAG17,11.834319526627219,60
WDTC1,11.834319526627219,60
ROCK1,11.834319526627219,60
CNTNAP2,11.834319526627219,60
MGAM,11.834319526627219,60
PCDH19,11.834319526627219,60
JMJD1C,11.637080867850099,59
NCKAP5,11.637080867850099,59
ASXL3,11.637080867850099,59
KNTC1,11.637080867850099,59
C3,11.637080867850099,59
LRRIQ1,11.637080867850099,59
CNTN6,11.637080867850099,59
NALCN,11.637080867850099,59
CACNA1B,11.637080867850099,59
PPP1R3A,11.637080867850099,59
AKAP13,11.637080867850099,59
CELSR2,11.637080867850099,59
SETD2,11.637080867850099,59
RBBP6,11.637080867850099,59
BTAF1,11.637080867850099,59
IGSF10,11.637080867850099,59
USF3,11.637080867850099,59
GOLGB1,11.637080867850099,59
DOCK8,11.637080867850099,59
FNDC1,11.637080867850099,59
LMAN1,11.637080867850099,59
TRPM6,11.439842209072978,58
ASCC3,11.439842209072978,58
TNRC18,11.439842209072978,58
DOCK1,11.439842209072978,58
SCN3A,11.439842209072978,58
ANKRD30A,11.439842209072978,58
PLCE1,11.439842209072978,58
KIAA1217,11.439842209072978,58
PLXNA2,11.439842209072978,58
FREM2,11.439842209072978,58
MYH2,11.439842209072978,58
RIMS2,11.439842209072978,58
KIF21A,11.439842209072978,58
GLI3,11.439842209072978,58
NUP210L,11.439842209072978,58
PPFIA2,11.439842209072978,58
ACACB,11.439842209072978,58
CIT,11.439842209072978,58
SCN10A,11.439842209072978,58
SCN11A,11.439842209072978,58
LRRC7,11.439842209072978,58
CFAP47,11.439842209072978,58
PKD1,11.439842209072978,58
CACNA1C,11.439842209072978,58
PCNT,11.439842209072978,58
ZMYM3,11.439842209072978,58
SPTBN1,11.439842209072978,58
SPTBN5,11.439842209072978,58
CUL9,11.242603550295858,57
SLITRK3,11.242603550295858,57
CHD9,11.242603550295858,57
DGKK,11.242603550295858,57
DSCAML1,11.242603550295858,57
NRK,11.242603550295858,57
RNF17,11.242603550295858,57
SEC16A,11.242603550295858,57
CAMTA2,11.242603550295858,57
DIDO1,11.242603550295858,57
NID2,11.242603550295858,57
ANKHD1-EIF4EBP3,11.242603550295858,57
PRRC2C,11.242603550295858,57
MYH1,11.242603550295858,57
SHROOM2,11.242603550295858,57
WWC3,11.242603550295858,57
PRUNE2,11.242603550295858,57
CAD,11.242603550295858,57
ICE1,11.242603550295858,57
ANK1,11.242603550295858,57
ZZEF1,11.242603550295858,57
DOP1A,11.242603550295858,57
POLQ,11.242603550295858,57
SPEN,11.242603550295858,57
KIAA2026,11.242603550295858,57
MYH14,11.045364891518737,56
NOTCH3,11.045364891518737,56
ATP2B3,11.045364891518737,56
AFF2,11.045364891518737,56
COL7A1,11.045364891518737,56
CENPE,11.045364891518737,56
MTOR,11.045364891518737,56
SORL1,11.045364891518737,56
PDZD2,11.045364891518737,56
TRANK1,11.045364891518737,56
HECW1,11.045364891518737,56
BRWD1,11.045364891518737,56
RP1L1,11.045364891518737,56
TCF20,11.045364891518737,56
ATAD2,11.045364891518737,56
SIPA1L2,11.045364891518737,56
NHS,11.045364891518737,56
SPEF2,11.045364891518737,56
SALL4,11.045364891518737,56
PCDH9,11.045364891518737,56
ZNF536,11.045364891518737,56
ROBO1,11.045364891518737,56
USP35,11.045364891518737,56
CNOT1,11.045364891518737,56
HIVEP3,11.045364891518737,56
PTPRZ1,11.045364891518737,56
HCFC1,11.045364891518737,56
BOD1L1,11.045364891518737,56
HIVEP1,11.045364891518737,56
SPTAN1,10.848126232741617,55
ARHGAP21,10.848126232741617,55
MED13,10.848126232741617,55
KDM3B,10.848126232741617,55
IGSF1,10.848126232741617,55
THSD7B,10.848126232741617,55
MYH15,10.848126232741617,55
HEATR1,10.848126232741617,55
POLA1,10.848126232741617,55
CELSR3,10.848126232741617,55
DYSF,10.848126232741617,55
SMC6,10.848126232741617,55
ANKRD26,10.848126232741617,55
GPR158,10.848126232741617,55
ANKRD17,10.848126232741617,55
PLXNA1,10.848126232741617,55
MAP1A,10.848126232741617,55
ZDBF2,10.848126232741617,55
FANCM,10.848126232741617,55
STAB2,10.848126232741617,55
COL12A1,10.848126232741617,55
ADGRB3,10.848126232741617,55
USP26,10.848126232741617,55
MUC4,10.848126232741617,55
NRIP1,10.848126232741617,55
CCNB3,10.848126232741617,55
ATP2A1,10.848126232741617,55
WNK3,10.848126232741617,55
TRIOBP,10.848126232741617,55
KIAA1210,10.848126232741617,55
PCDHA12,10.848126232741617,55
BAZ2B,10.848126232741617,55
TENM2,10.650887573964498,54
ABCA1,10.650887573964498,54
PCDHA9,10.650887573964498,54
KIAA0100,10.650887573964498,54
QSER1,10.650887573964498,54
AHCTF1,10.650887573964498,54
MSH3,10.650887573964498,54
MYOM1,10.650887573964498,54
KIF20B,10.650887573964498,54
CACNA1A,10.650887573964498,54
GRIN2A,10.650887573964498,54
TENM4,10.650887573964498,54
COL6A6,10.650887573964498,54
TDRD6,10.650887573964498,54
PTPRT,10.650887573964498,54
FAM47C,10.650887573964498,54
OTOGL,10.650887573964498,54
NRXN1,10.650887573964498,54
PSME4,10.650887573964498,54
DOCK4,10.650887573964498,54
SLITRK4,10.650887573964498,54
ERICH3,10.650887573964498,54
ATAD5,10.650887573964498,54
SCN2A,10.650887573964498,54
EPHA5,10.650887573964498,54
HECTD1,10.650887573964498,54
CFAP65,10.650887573964498,54
BIVM-ERCC5,10.650887573964498,54
ABCC2,10.650887573964498,54
MAGEC1,10.650887573964498,54
MCF2,10.650887573964498,54
ACACA,10.650887573964498,54
TPR,10.650887573964498,54
ROBO2,10.650887573964498,54
SPECC1,10.650887573964498,54
TIAM1,10.453648915187378,53
SCN5A,10.453648915187378,53
SOS1,10.453648915187378,53
GRM1,10.453648915187378,53
PAPPA2,10.453648915187378,53
ANKRD50,10.453648915187378,53
ABCB1,10.453648915187378,53
PHF3,10.453648915187378,53
PLXNB2,10.453648915187378,53
MYOM2,10.453648915187378,53
COL22A1,10.453648915187378,53
RAD50,10.453648915187378,53
PHKA2,10.453648915187378,53
RASA1,10.453648915187378,53
CACNA1S,10.453648915187378,53
PTPN13,10.453648915187378,53
PDE4DIP,10.453648915187378,53
CHD2,10.453648915187378,53
ABCA9,10.453648915187378,53
DMBT1,10.453648915187378,53
MYH6,10.453648915187378,53
RP1,10.453648915187378,53
SPTBN2,10.453648915187378,53
SRRM2,10.453648915187378,53
SMARCA1,10.453648915187378,53
MYH10,10.453648915187378,53
KIDINS220,10.453648915187378,53
ZC3H13,10.453648915187378,53
SAMD9,10.453648915187378,53
RIF1,10.453648915187378,53
PARP14,10.453648915187378,53
CDH7,10.256410256410255,52
DENND4A,10.256410256410255,52
ZNF236,10.256410256410255,52
ARID2,10.256410256410255,52
COPA,10.256410256410255,52
ITPR3,10.256410256410255,52
PPL,10.256410256410255,52
PRPF8,10.256410256410255,52
ABCA4,10.256410256410255,52
ZNFX1,10.256410256410255,52
CDKL5,10.256410256410255,52
MROH2B,10.256410256410255,52
COL4A6,10.256410256410255,52
EPG5,10.256410256410255,52
PLXNA3,10.256410256410255,52
MBD6,10.256410256410255,52
CHD5,10.256410256410255,52
ARHGAP32,10.256410256410255,52
ARAP3,10.256410256410255,52
MAGEC3,10.256410256410255,52
KIF14,10.256410256410255,52
CAMSAP2,10.256410256410255,52
PLXNC1,10.256410256410255,52
ATP11C,10.256410256410255,52
TNIK,10.256410256410255,52
NLRC5,10.256410256410255,52
NES,10.256410256410255,52
